race,award,winner,movie,birthplace,sexual_orientation,years_since_award,age_at_award
1,Best Actress,Ginger Rogers,Kitty Foyle,1,straight,79,30
1,Best Actress,Joan Fontaine,Suspicion,0,straight,80,23
1,Best Actress,Greer Garson,Mrs. Miniver,0,straight,78,38
1,Best Actress,Jennifer Jones,The Song of Bernadette,1,straight,76,40
1,Best Actress,Ingrid Bergman,Gaslight,0,straight,75,30
1,Best Actress,Joan Crawford,Mildred Pierce,1,bisexual,74,41
1,Best Actress,Olivia de Havilland,To Each His Own,0,straight,73,42
1,Best Actress,Loretta Young,The Farmer's Daughter,1,straight,72,43
1,Best Actress,Jane Wyman,Johnny Belinda,1,straight,71,44
1,Best Actress,Olivia de Havilland,The Heiress,0,straight,70,45
1,Best Actress,Judy Holliday,Born Yesterday,1,straight,69,30
1,Best Actress,Vivien Leigh,A Streetcar Named Desire,0,straight,68,31
1,Best Actress,Shirley Booth,"Come Back, Little Sheba",1,straight,67,55
1,Best Actress,Audrey Hepburn,Roman Holiday,0,straight,66,56
1,Best Actress,Grace Kelly,The Country Girl,1,straight,65,26
1,Best Actress,Anna Magnani,The Rose Tattoo,0,straight,64,27
1,Best Actress,Ingrid Bergman,Anastasia,0,straight,63,42
1,Best Actress,Joanne Woodward,The Three Faces of Eve,1,straight,62,28
1,Best Actress,Susan Hayward,I Want To Live!,1,straight,61,41
1,Best Actress,Simone Signoret,Room at the Top,0,straight,60,39
1,Best Actress,Elizabeth Taylor,Butterfield 8,0,straight,59,29
1,Best Actress,Sophia Loren,Two Women,0,straight,58,28
1,Best Actress,Anne Bancroft,The Miracle Worker,1,straight,57,32
1,Best Actress,Patricia Neal,Hud,1,straight,56,38
1,Best Actress,Julie Andrews,Mary Poppins,0,straight,55,39
1,Best Actress,Julie Christie,Darling,0,straight,54,25
1,Best Actress,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,0,straight,53,35
1,Best Actress,Katharine Hepburn,Guess Who's Coming to Dinner,1,bisexual,52,61
1,Best Actress,Barbra Streisand,Funny Girl,1,straight,51,27
